stockid,make,model,grade,chassis,year,month,kms,color,doors,cc,trans,fueltype,condition,ac,equip,jpy fob
n15856,Toyota,Prius 5d,L,ZVW30-1982701,2015,,43,black,0,1800,IA,H,4,AAC,"ps, pw, nav",585000
11485765,Toyota,Prius Alpha,S,ZVW41W-3359272,2015,,110,black,0,1800,IA,P,3.5,AAC,"ps, pw",573000
322771,Toyota,Aqua,G,NHP10-6226007,2013,,47,silver,0,1500,FAT,H,3.5,AAC,"ps, pw",365000
1173388,Toyota,C-hr,S,ZYX10-2079613,2017,,59,silver,0,1800,FAT,-,4,AAC,"ps, pw, abs",1260000
322716,Toyota,Aqua,S,NHP10-6602253,2017,,59,blue,0,1500,FAT,P,4,AAC,"ps, pw, st",580000
1173019,Toyota,Aqua,X,MXPK11-2024935,2021,,112,pearl,0,1500,IAT,-,4,AAC,"ps, pw, abs",850000
322631,Honda,Accord,ハイブリッド EX,CV3-1002042,2020,6,102,black,0,2000,FAT,P,4,AAC,"abs, ps, pw, sr, swt/lg",1685000
1172772,Toyota,Rav4,アドベンチャー 4WD,MXAA54-5010684,2020,,57,green,0,2000,FAT,-,3,,,2100000
322627,Toyota,Sienta,G,NSP170G-7030019,2016,,26,red,0,1500,AT,P,3.5,AC,"abs, ps, pw, sr, tv, nc",755000
1172820,Toyota,Corolla Cross,Hybrid S,ZVG11-1054701,2023,,24,silver,0,1800,FAT,H,3.5,AAC,"ps, pw, abs",2155000
1172817,Toyota,Corolla Touring,Hybrid G-X,ZWE211W-6061798,2021,,90,white,0,1800,FAT,H,3.5,AAC,"ps, pw, abs",1275000
322510,Nissan,NV350 Caravan Van,LongVX,VW2E26-123185,2021,,114,grey,0,2500,IAT,D,3.5,,,1425000
1172564,Nissan,Cube,15X V Smart,Z12-313130,2016,,77,blue,0,1500,AT,P,3,AC,"ps, pw, abs",275000
1172581,Honda,Jade,HYBRID,FR4-1003525,2015,,50,black,0,1500,FAT,H,3.5,AAC,"ps, pw",550000
1172517,Toyota,Porte 4d,F,NCP141-9135928,2014,,49,red,0,1500,IA,-,3,AC,"ps, pw",320000
1172418,Subaru,Levorg 4wd,1.6GTEYESIGHT PF,VM4-065517,2015,,65,red,0,1600,FAT,P,3.5,AAC,"ps, pw, sw",520000
1172314,Toyota,Aqua,G,NHP10-2312488,2014,,79,pearl,0,1500,FAT,-,3.5,AAC,"ps, pw, abs",390000
1171545,Toyota,C-hr,G,ZYX10-2028576,2017,,37,red,0,1800,FAT,-,3.5,,,1380000
